Resource_ID,Employee_Name,Designation,Department,Project_ID,Allocation_%,Billable,Employment_Type,Joining_Date,Experience_Years,Primary_Skill,Secondary_Skill,Certification,Location,Manager,Hourly_Rate,Monthly_Cost,Utilization_%,Resource_Status
RES0169,Employee 169,BA,Operations,PRJ026,75,No,Contract,18-Sep-24,6,Oracle,Salesforce,PMP,Germany,S Verma,118.00,115069.00,72,Active
RES0170,Employee 170,Tester,IT,PRJ062,75,Yes,Contract,31-Oct-24,14,AWS,Oracle,PMP,Germany,M Patel,118.00,115069.00,89,Released
RES0171,Employee 171,Developer,Sales,PRJ020,50,No,Contract,23-Apr-22,8,Oracle,Power BI,None,UK,V Mehta,118.00,115069.00,92,Released
RES0172,Employee 172,Developer,HR,PRJ057,100,No,Contract,23-Jul-22,14,Oracle,Power BI,PL-300,Germany,K Rao,118.00,115069.00,71,Released
RES0173,Employee 173,Tester,HR,PRJ062,50,No,Contract,06-Aug-24,14,Azure,SAP,PL-300,UK,P Gupta,118.00,115069.00,77,Active
RES0174,Employee 174,Developer,Operations,PRJ073,100,Yes,Permanent,28-Jun-22,8,Dynamics 365,Dynamics 365,PL-300,India,A Sharma,118.00,115069.00,92,Active
RES0175,Employee 175,BA,Operations,PRJ053,75,No,Contract,04-Jan-25,8,Oracle,SAP,AZ-900,Singapore,S Verma,118.00,115069.00,98,Released
RES0176,Employee 176,Tester,Marketing,PRJ086,100,Yes,Permanent,09-Dec-23,2,Oracle,Power BI,None,Germany,M Patel,118.00,115069.00,87,Released
RES0177,Employee 177,Architect,Finance,PRJ088,25,Yes,Contract,31-Oct-24,11,AWS,Oracle,None,Singapore,M Patel,118.00,115069.00,67,Active
RES0178,Employee 178,BA,HR,PRJ039,100,Yes,Contract,13-Mar-23,7,Power BI,Azure,None,Germany,N Kumar,118.00,115069.00,78,Active
RES0179,Employee 179,PM,Sales,PRJ008,100,No,Permanent,03-Sep-23,9,Oracle,Dynamics 365,PL-300,UK,A Sharma,118.00,115069.00,74,Released
RES0180,Employee 180,Tester,Marketing,PRJ018,25,Yes,Permanent,03-Dec-22,13,Oracle,Azure,AZ-900,USA,M Patel,118.00,115069.00,98,Released
RES0181,Employee 181,PM,Sales,PRJ040,50,No,Contract,27-Nov-22,1,SAP,Azure,CSM,Australia,P Gupta,118.00,115069.00,75,Active
RES0182,Employee 182,Tester,Finance,PRJ091,50,Yes,Contract,30-Sep-23,17,Azure,Oracle,CSM,India,P Gupta,118.00,115069.00,67,Released
RES0183,Employee 183,Tester,Finance,PRJ082,25,No,Contract,05-Apr-25,3,Dynamics 365,AWS,CSM,USA,P Gupta,118.00,115069.00,63,Active
RES0184,Employee 184,Developer,Operations,PRJ063,50,Yes,Contract,29-Mar-22,14,SAP,AWS,AZ-900,Germany,P Gupta,118.00,115069.00,64,Active
RES0185,Employee 185,Developer,HR,PRJ050,75,Yes,Contract,15-Apr-24,20,Salesforce,SAP,CSM,India,M Patel,118.00,115069.00,76,Active
RES0186,Employee 186,Developer,Operations,PRJ040,25,No,Permanent,12-Jun-22,15,Azure,SAP,CSM,Singapore,V Mehta,118.00,115069.00,80,Active
RES0187,Employee 187,BA,Marketing,PRJ053,25,Yes,Permanent,31-Jan-24,12,SAP,Salesforce,AZ-900,India,A Sharma,118.00,115069.00,97,Released
RES0188,Employee 188,Tester,Marketing,PRJ030,100,No,Contract,27-Oct-24,6,Azure,Power BI,AZ-900,Germany,K Rao,118.00,115069.00,98,Active
RES0189,Employee 189,PM,Finance,PRJ013,75,Yes,Permanent,13-Mar-24,19,SAP,Dynamics 365,AZ-900,USA,M Patel,118.00,115069.00,71,Active
RES0190,Employee 190,Developer,Marketing,PRJ089,100,No,Contract,23-Jan-22,6,Salesforce,AWS,PMP,Australia,A Sharma,118.00,115069.00,82,Released
RES0191,Employee 191,PM,Sales,PRJ058,75,Yes,Permanent,08-Aug-22,19,Power BI,Power BI,AZ-900,Singapore,R Singh,118.00,115069.00,97,Released
RES0192,Employee 192,Tester,Finance,PRJ075,50,No,Contract,06-Dec-23,14,Dynamics 365,Power BI,PL-300,Singapore,S Verma,118.00,115069.00,70,Released
RES0193,Employee 193,Architect,Marketing,PRJ028,75,Yes,Permanent,01-Mar-22,8,Salesforce,SAP,CSM,India,A Sharma,118.00,115069.00,60,Active
RES0194,Employee 194,Architect,Finance,PRJ029,50,No,Permanent,27-Nov-22,11,SAP,Dynamics 365,CSM,Singapore,R Singh,118.00,115069.00,88,Active
RES0195,Employee 195,PM,Marketing,PRJ005,100,No,Contract,05-Mar-25,3,Oracle,SAP,CSM,India,P Gupta,118.00,115069.00,95,Released
RES0196,Employee 196,Architect,Operations,PRJ007,100,Yes,Permanent,15-Apr-22,6,Oracle,SAP,PMP,Singapore,M Patel,118.00,115069.00,95,Active
RES0197,Employee 197,BA,IT,PRJ047,50,No,Permanent,12-Jun-22,4,Dynamics 365,Power BI,PMP,Singapore,V Mehta,118.00,115069.00,68,Released
RES0198,Employee 198,BA,Operations,PRJ030,100,No,Permanent,15-May-24,6,AWS,Power BI,PMP,India,M Patel,118.00,115069.00,95,Released
RES0199,Employee 199,Architect,IT,PRJ075,25,Yes,Contract,24-Apr-24,8,Salesforce,Power BI,AZ-900,Australia,M Patel,118.00,115069.00,93,Released
RES0200,Employee 200,Architect,Marketing,PRJ031,50,No,Contract,17-Sep-22,8,Azure,SAP,AZ-900,UK,V Mehta,118.00,115069.00,77,Released
RES0201,Employee 201,Architect,Operations,PRJ075,50,No,Permanent,22-Dec-22,10,Dynamics 365,SAP,None,Australia,S Verma,118.00,115069.00,96,Released
RES0202,Employee 202,PM,HR,PRJ025,50,Yes,Permanent,28-Sep-22,19,Azure,Power BI,PL-300,USA,N Kumar,118.00,115069.00,69,Released
RES0203,Employee 203,Developer,Marketing,PRJ057,50,No,Permanent,23-Nov-23,14,Azure,Oracle,CSM,Germany,V Mehta,118.00,115069.00,97,Active
RES0204,Employee 204,Architect,IT,PRJ013,25,Yes,Contract,05-Jun-22,5,Salesforce,Dynamics 365,PMP,India,R Singh,118.00,115069.00,63,Released
RES0205,Employee 205,PM,Marketing,PRJ057,100,Yes,Contract,18-Jun-22,15,Power BI,Oracle,CSM,USA,V Mehta,118.00,115069.00,88,Active
RES0206,Employee 206,Tester,Operations,PRJ075,75,Yes,Contract,08-Feb-24,12,Power BI,AWS,AZ-900,Australia,R Singh,118.00,115069.00,90,Released
RES0207,Employee 207,Tester,Finance,PRJ084,75,Yes,Permanent,14-Jan-23,18,Power BI,AWS,PL-300,UK,V Mehta,118.00,115069.00,60,Active
RES0208,Employee 208,Tester,Marketing,PRJ006,50,No,Contract,25-Jan-23,2,SAP,SAP,CSM,USA,M Patel,118.00,115069.00,72,Active
RES0209,Employee 209,BA,IT,PRJ061,100,Yes,Contract,07-Feb-24,8,Power BI,SAP,CSM,UK,P Gupta,118.00,115069.00,98,Active
RES0210,Employee 210,Tester,Operations,PRJ045,100,No,Permanent,14-Apr-24,1,Power BI,Azure,AZ-900,Australia,S Verma,118.00,115069.00,75,Released
RES0211,Employee 211,PM,Finance,PRJ009,25,No,Permanent,10-Jun-23,5,Azure,AWS,PMP,USA,S Verma,118.00,115069.00,75,Active
RES0212,Employee 212,Developer,Operations,PRJ065,25,No,Contract,18-Feb-24,15,Azure,Power BI,PMP,UK,R Singh,118.00,115069.00,89,Active
RES0213,Employee 213,BA,Finance,PRJ100,50,Yes,Contract,09-Aug-22,18,Salesforce,AWS,AZ-900,USA,M Patel,118.00,115069.00,91,Active
RES0214,Employee 214,BA,IT,PRJ070,75,No,Contract,09-Jun-22,14,AWS,Oracle,PL-300,UK,R Singh,118.00,115069.00,93,Released
RES0215,Employee 215,Developer,Marketing,PRJ074,75,Yes,Permanent,21-Nov-23,5,Power BI,Salesforce,None,Germany,A Sharma,118.00,115069.00,96,Active
RES0216,Employee 216,Tester,Finance,PRJ093,25,No,Contract,16-Jul-23,9,Oracle,Oracle,None,Germany,A Sharma,118.00,115069.00,92,Active
RES0217,Employee 217,Architect,Marketing,PRJ020,100,Yes,Contract,03-Jul-24,11,AWS,Power BI,None,USA,S Verma,118.00,115069.00,77,Active
RES0218,Employee 218,Architect,Finance,PRJ039,25,No,Contract,12-Oct-23,3,Azure,Salesforce,AZ-900,Singapore,A Sharma,118.00,115069.00,69,Released
RES0219,Employee 219,PM,HR,PRJ024,100,Yes,Contract,24-Apr-24,8,Salesforce,Azure,None,Australia,R Singh,118.00,115069.00,96,Released
RES0220,Employee 220,BA,Operations,PRJ091,100,No,Contract,23-Aug-22,15,Oracle,Azure,CSM,Australia,A Sharma,118.00,115069.00,87,Released
RES0221,Employee 221,Developer,IT,PRJ081,75,Yes,Contract,29-Nov-22,6,Dynamics 365,Oracle,PL-300,India,N Kumar,118.00,115069.00,100,Released
RES0222,Employee 222,Developer,Operations,PRJ061,25,Yes,Permanent,10-Dec-24,8,Dynamics 365,AWS,PL-300,UK,S Verma,118.00,115069.00,91,Released
RES0223,Employee 223,BA,Finance,PRJ002,50,No,Contract,10-Jun-24,14,Oracle,Salesforce,PMP,Germany,R Singh,118.00,115069.00,86,Released
RES0224,Employee 224,Tester,Finance,PRJ008,25,Yes,Permanent,12-Sep-23,20,Dynamics 365,Azure,CSM,Germany,P Gupta,118.00,115069.00,94,Active
RES0225,Employee 225,PM,Marketing,PRJ043,75,No,Permanent,20-Sep-24,6,Oracle,Oracle,AZ-900,Germany,S Verma,118.00,115069.00,72,Released
RES0226,Employee 226,Tester,HR,PRJ070,25,No,Contract,17-Mar-24,18,Power BI,Salesforce,None,India,N Kumar,118.00,115069.00,70,Released
RES0227,Employee 227,BA,Operations,PRJ020,50,Yes,Contract,28-Dec-23,10,Salesforce,SAP,PL-300,UK,P Gupta,118.00,115069.00,100,Active
RES0228,Employee 228,Developer,Operations,PRJ041,50,Yes,Contract,31-May-24,6,Azure,AWS,None,Germany,A Sharma,118.00,115069.00,97,Active
RES0229,Employee 229,PM,Marketing,PRJ057,50,Yes,Permanent,20-Sep-23,16,SAP,AWS,PL-300,Australia,A Sharma,118.00,115069.00,76,Active
RES0230,Employee 230,Developer,Finance,PRJ021,75,No,Permanent,18-Nov-22,15,Azure,Power BI,PMP,Germany,M Patel,118.00,115069.00,81,Active
RES0231,Employee 231,Architect,IT,PRJ068,75,Yes,Contract,22-Jan-24,11,SAP,AWS,PL-300,USA,V Mehta,118.00,115069.00,85,Released
RES0232,Employee 232,Tester,Sales,PRJ082,50,No,Contract,27-Jan-25,16,Azure,Salesforce,None,Singapore,M Patel,118.00,115069.00,96,Active
RES0233,Employee 233,Architect,Finance,PRJ044,25,Yes,Contract,20-Mar-23,19,SAP,Salesforce,PL-300,USA,A Sharma,118.00,115069.00,73,Released
RES0234,Employee 234,PM,Operations,PRJ006,50,No,Permanent,12-Jan-23,5,AWS,Azure,None,USA,M Patel,118.00,115069.00,85,Released
RES0235,Employee 235,Tester,HR,PRJ100,100,No,Permanent,26-Mar-23,9,Salesforce,Salesforce,AZ-900,India,V Mehta,118.00,115069.00,77,Active
RES0236,Employee 236,PM,Finance,PRJ098,25,No,Permanent,06-Jan-25,10,Power BI,Azure,PL-300,USA,R Singh,118.00,115069.00,91,Active
RES0237,Employee 237,Developer,Finance,PRJ001,50,No,Permanent,23-Feb-25,4,Oracle,AWS,PL-300,Singapore,A Sharma,118.00,115069.00,97,Active
RES0238,Employee 238,PM,Sales,PRJ071,25,No,Contract,22-Dec-24,19,AWS,Salesforce,None,UK,V Mehta,118.00,115069.00,99,Released
RES0239,Employee 239,Developer,HR,PRJ062,50,Yes,Permanent,15-Nov-23,14,Power BI,Power BI,PL-300,Singapore,N Kumar,118.00,115069.00,88,Active
RES0240,Employee 240,Developer,HR,PRJ096,100,Yes,Permanent,24-Sep-23,1,Salesforce,Power BI,CSM,Germany,A Sharma,118.00,115069.00,82,Released
RES0241,Employee 241,Tester,HR,PRJ061,50,Yes,Permanent,10-Apr-22,7,Power BI,Azure,PL-300,India,V Mehta,118.00,115069.00,72,Released
RES0242,Employee 242,PM,HR,PRJ074,50,Yes,Contract,22-Aug-23,17,Dynamics 365,SAP,CSM,USA,M Patel,118.00,115069.00,75,Released
RES0243,Employee 243,PM,HR,PRJ038,50,Yes,Contract,07-Feb-24,2,Dynamics 365,Oracle,CSM,India,N Kumar,118.00,115069.00,61,Released
RES0244,Employee 244,Architect,HR,PRJ057,50,Yes,Permanent,22-May-23,17,AWS,Dynamics 365,AZ-900,USA,P Gupta,118.00,115069.00,64,Active
RES0245,Employee 245,PM,Finance,PRJ054,25,No,Contract,23-Jul-23,18,SAP,SAP,PMP,UK,M Patel,118.00,115069.00,91,Active
RES0246,Employee 246,Architect,Marketing,PRJ052,100,Yes,Contract,23-Jul-23,18,Dynamics 365,Oracle,None,UK,M Patel,118.00,115069.00,72,Active
RES0247,Employee 247,BA,HR,PRJ005,50,Yes,Contract,17-Dec-23,8,Oracle,Azure,None,Germany,P Gupta,118.00,115069.00,64,Active
RES0248,Employee 248,Developer,Operations,PRJ056,50,No,Permanent,19-Sep-24,17,Dynamics 365,AWS,CSM,USA,P Gupta,118.00,115069.00,100,Released
RES0249,Employee 249,Architect,Marketing,PRJ001,25,Yes,Contract,25-Sep-23,20,Power BI,Azure,PL-300,India,N Kumar,118.00,115069.00,92,Released
RES0250,Employee 250,Tester,IT,PRJ092,100,No,Permanent,30-Nov-23,6,Oracle,AWS,AZ-900,India,P Gupta,118.00,115069.00,82,Active
RES0251,Employee 251,Developer,Marketing,PRJ075,50,No,Permanent,26-Sep-22,19,Salesforce,Salesforce,PMP,Germany,K Rao,118.00,115069.00,83,Released
RES0252,Employee 252,Architect,Sales,PRJ072,100,No,Contract,16-Jul-24,16,Power BI,Dynamics 365,PL-300,Singapore,S Verma,118.00,115069.00,79,Released
RES0253,Employee 253,Developer,IT,PRJ034,75,Yes,Contract,17-Apr-23,20,Power BI,Oracle,AZ-900,India,V Mehta,118.00,115069.00,75,Released
RES0254,Employee 254,Architect,Marketing,PRJ046,50,No,Permanent,05-Feb-22,17,Power BI,Dynamics 365,CSM,Australia,S Verma,118.00,115069.00,73,Active
RES0255,Employee 255,BA,Finance,PRJ093,75,Yes,Contract,08-Nov-22,7,Salesforce,Power BI,CSM,USA,S Verma,118.00,115069.00,70,Released
RES0256,Employee 256,Architect,Finance,PRJ047,75,No,Contract,23-Jun-23,4,Dynamics 365,Oracle,PL-300,USA,V Mehta,118.00,115069.00,90,Released
RES0257,Employee 257,Tester,IT,PRJ068,75,Yes,Permanent,29-Jul-24,6,Dynamics 365,AWS,CSM,Germany,P Gupta,118.00,115069.00,69,Active
RES0258,Employee 258,BA,IT,PRJ068,100,Yes,Permanent,26-Sep-22,12,Oracle,Azure,AZ-900,UK,R Singh,118.00,115069.00,83,Active
RES0259,Employee 259,PM,HR,PRJ060,100,Yes,Permanent,11-Feb-24,3,SAP,Azure,None,USA,A Sharma,118.00,115069.00,99,Released
RES0260,Employee 260,Tester,Operations,PRJ065,25,Yes,Permanent,23-Sep-23,18,Power BI,Oracle,CSM,Singapore,K Rao,118.00,115069.00,61,Released
RES0261,Employee 261,BA,Marketing,PRJ091,75,Yes,Permanent,28-Nov-24,12,Salesforce,SAP,None,India,M Patel,118.00,115069.00,67,Released
RES0262,Employee 262,PM,Operations,PRJ024,25,Yes,Contract,11-Feb-23,6,Oracle,Power BI,CSM,UK,S Verma,118.00,115069.00,79,Released
RES0263,Employee 263,Architect,HR,PRJ079,25,Yes,Contract,24-May-22,5,Power BI,Azure,PMP,UK,K Rao,118.00,115069.00,71,Released
RES0264,Employee 264,Architect,IT,PRJ060,75,No,Permanent,09-Jul-24,7,Oracle,AWS,PL-300,UK,S Verma,118.00,115069.00,72,Active
RES0265,Employee 265,Tester,HR,PRJ010,50,Yes,Contract,01-May-22,17,AWS,Power BI,PMP,India,P Gupta,118.00,115069.00,62,Active
RES0266,Employee 266,Developer,Finance,PRJ028,100,No,Contract,05-Feb-25,12,Dynamics 365,Salesforce,None,USA,A Sharma,118.00,115069.00,93,Active
RES0267,Employee 267,BA,IT,PRJ015,100,Yes,Contract,05-Apr-24,5,Azure,Dynamics 365,PMP,Singapore,A Sharma,118.00,115069.00,83,Active
RES0268,Employee 268,Architect,Operations,PRJ009,25,Yes,Contract,30-Apr-23,1,Salesforce,Azure,CSM,Australia,V Mehta,118.00,115069.00,76,Released
RES0269,Employee 269,Developer,Finance,PRJ089,75,Yes,Contract,05-Apr-22,15,AWS,Power BI,PMP,Germany,P Gupta,118.00,115069.00,93,Active
RES0270,Employee 270,PM,Sales,PRJ086,25,No,Contract,28-Nov-23,2,Salesforce,Salesforce,CSM,USA,R Singh,118.00,115069.00,79,Active
RES0271,Employee 271,Developer,Finance,PRJ012,100,Yes,Contract,21-Jun-23,3,Dynamics 365,SAP,None,UK,K Rao,118.00,115069.00,85,Active
RES0272,Employee 272,Architect,Finance,PRJ054,50,No,Permanent,15-Dec-24,3,SAP,Dynamics 365,None,Australia,S Verma,118.00,115069.00,85,Released
RES0273,Employee 273,BA,Finance,PRJ083,100,No,Contract,08-Sep-23,17,Azure,SAP,AZ-900,USA,P Gupta,118.00,115069.00,82,Active
RES0274,Employee 274,Tester,Sales,PRJ028,75,Yes,Permanent,22-Aug-22,11,AWS,Power BI,AZ-900,Australia,N Kumar,118.00,115069.00,62,Active
RES0275,Employee 275,Tester,Sales,PRJ011,75,Yes,Permanent,15-Mar-25,3,Power BI,SAP,PMP,Germany,A Sharma,118.00,115069.00,80,Released
RES0276,Employee 276,Tester,Sales,PRJ076,75,Yes,Contract,13-Apr-25,5,Azure,SAP,None,USA,V Mehta,118.00,115069.00,66,Active
RES0277,Employee 277,Architect,Finance,PRJ026,75,No,Permanent,13-Aug-23,4,Dynamics 365,Oracle,None,Germany,V Mehta,118.00,115069.00,73,Released
RES0278,Employee 278,BA,Operations,PRJ087,25,Yes,Permanent,31-Oct-24,4,AWS,AWS,CSM,Singapore,M Patel,118.00,115069.00,87,Released
RES0279,Employee 279,Architect,Operations,PRJ070,25,No,Permanent,20-Feb-25,7,Azure,Power BI,AZ-900,India,P Gupta,118.00,115069.00,60,Active
RES0280,Employee 280,Developer,Operations,PRJ095,100,No,Contract,27-Oct-22,5,Salesforce,Dynamics 365,AZ-900,India,K Rao,118.00,115069.00,91,Active
RES0281,Employee 281,Architect,Operations,PRJ067,75,Yes,Permanent,11-May-23,9,Salesforce,SAP,None,USA,N Kumar,118.00,115069.00,90,Active
RES0282,Employee 282,BA,Operations,PRJ032,50,No,Permanent,02-Sep-22,6,Power BI,Dynamics 365,AZ-900,Singapore,N Kumar,118.00,115069.00,83,Active
RES0283,Employee 283,BA,IT,PRJ080,75,No,Permanent,21-Jul-22,9,Power BI,Dynamics 365,PL-300,India,M Patel,118.00,115069.00,62,Active
RES0284,Employee 284,Architect,Finance,PRJ023,75,No,Contract,20-Dec-22,16,Salesforce,Power BI,None,Singapore,R Singh,118.00,115069.00,84,Active
RES0285,Employee 285,Tester,Marketing,PRJ014,50,Yes,Permanent,18-May-23,19,Oracle,AWS,PL-300,USA,V Mehta,118.00,115069.00,68,Released
RES0286,Employee 286,PM,Finance,PRJ084,75,No,Contract,27-Mar-23,5,SAP,AWS,PL-300,Germany,P Gupta,118.00,115069.00,100,Active
RES0287,Employee 287,Tester,HR,PRJ007,100,Yes,Permanent,06-Feb-22,9,Azure,Azure,AZ-900,UK,N Kumar,118.00,115069.00,70,Active
RES0288,Employee 288,Architect,HR,PRJ093,25,No,Contract,28-Nov-23,19,Salesforce,Oracle,None,India,A Sharma,118.00,115069.00,62,Released
RES0289,Employee 289,Developer,Sales,PRJ055,75,No,Permanent,16-Dec-22,9,Azure,Oracle,PL-300,Germany,A Sharma,118.00,115069.00,96,Released
RES0290,Employee 290,Architect,Sales,PRJ082,75,No,Permanent,26-May-22,17,Power BI,SAP,PMP,India,N Kumar,118.00,115069.00,85,Active
RES0291,Employee 291,Tester,Operations,PRJ063,100,Yes,Contract,13-Mar-25,15,Dynamics 365,Power BI,PMP,Germany,M Patel,118.00,115069.00,74,Released
RES0292,Employee 292,Developer,Marketing,PRJ017,100,No,Permanent,24-Jun-22,18,Oracle,Dynamics 365,CSM,Singapore,S Verma,118.00,115069.00,86,Released
RES0293,Employee 293,BA,IT,PRJ029,25,No,Contract,19-May-22,16,Dynamics 365,Dynamics 365,None,Germany,K Rao,118.00,115069.00,83,Released
RES0294,Employee 294,Developer,Operations,PRJ036,100,No,Permanent,01-Nov-22,2,Oracle,Power BI,PMP,India,A Sharma,118.00,115069.00,75,Active
RES0295,Employee 295,Architect,HR,PRJ024,50,No,Contract,24-Jul-23,15,SAP,SAP,None,USA,V Mehta,118.00,115069.00,84,Released
RES0296,Employee 296,Tester,HR,PRJ070,25,Yes,Permanent,07-Oct-24,3,Salesforce,Oracle,PL-300,UK,P Gupta,118.00,115069.00,62,Active
RES0297,Employee 297,Tester,HR,PRJ051,75,Yes,Permanent,01-Jun-23,12,Power BI,SAP,None,Australia,N Kumar,118.00,115069.00,70,Active
RES0298,Employee 298,Tester,Operations,PRJ043,100,Yes,Permanent,03-Jul-22,15,Azure,AWS,None,UK,K Rao,118.00,115069.00,86,Active
RES0299,Employee 299,BA,Marketing,PRJ052,100,No,Permanent,16-Jun-24,14,Salesforce,SAP,PMP,India,M Patel,118.00,115069.00,69,Active
RES0300,Employee 300,PM,Operations,PRJ092,100,No,Permanent,12-Oct-22,2,Oracle,AWS,PMP,Singapore,P Gupta,118.00,115069.00,73,Active
RES0301,Employee 301,Developer,IT,PRJ027,75,No,Permanent,27-Jun-23,5,AWS,Dynamics 365,CSM,Australia,V Mehta,118.00,115069.00,72,Active
RES0302,Employee 302,Architect,Marketing,PRJ024,100,No,Contract,21-Sep-22,16,Dynamics 365,AWS,None,UK,V Mehta,118.00,115069.00,94,Active
RES0303,Employee 303,Tester,Finance,PRJ004,75,No,Permanent,09-Apr-22,16,SAP,SAP,PL-300,India,N Kumar,118.00,115069.00,95,Active
RES0304,Employee 304,Developer,Operations,PRJ043,25,Yes,Permanent,10-May-24,8,Salesforce,Power BI,PL-300,India,M Patel,118.00,115069.00,68,Active
RES0305,Employee 305,Architect,IT,PRJ002,50,Yes,Contract,18-Mar-22,15,SAP,Dynamics 365,AZ-900,USA,P Gupta,118.00,115069.00,78,Active
RES0306,Employee 306,Architect,Finance,PRJ092,25,No,Permanent,05-Dec-22,19,Power BI,Dynamics 365,None,Australia,R Singh,118.00,115069.00,84,Active
RES0307,Employee 307,BA,HR,PRJ003,100,No,Contract,04-Jan-23,3,Azure,SAP,PL-300,USA,M Patel,118.00,115069.00,79,Active
RES0308,Employee 308,Developer,Sales,PRJ093,100,No,Permanent,21-Jul-23,2,Oracle,Power BI,AZ-900,Germany,A Sharma,118.00,115069.00,95,Released
RES0309,Employee 309,PM,HR,PRJ041,75,Yes,Permanent,28-Sep-24,7,Azure,SAP,AZ-900,UK,S Verma,118.00,115069.00,84,Active
RES0310,Employee 310,Architect,IT,PRJ073,100,No,Contract,09-Sep-23,6,Oracle,Dynamics 365,PMP,Singapore,K Rao,118.00,115069.00,77,Active
RES0311,Employee 311,BA,Operations,PRJ088,25,No,Contract,03-Jan-23,19,SAP,Dynamics 365,None,USA,P Gupta,118.00,115069.00,81,Active
RES0312,Employee 312,Tester,Marketing,PRJ004,25,No,Contract,14-Aug-22,15,Azure,Azure,AZ-900,Germany,K Rao,118.00,115069.00,64,Active
RES0313,Employee 313,Architect,Operations,PRJ070,25,No,Permanent,26-May-24,1,SAP,AWS,None,Germany,R Singh,118.00,115069.00,79,Released
RES0314,Employee 314,Tester,IT,PRJ030,100,No,Permanent,23-Mar-24,10,Oracle,Power BI,None,USA,P Gupta,118.00,115069.00,66,Active
RES0315,Employee 315,BA,Operations,PRJ077,50,No,Contract,11-Jan-24,2,Power BI,Dynamics 365,PL-300,UK,K Rao,118.00,115069.00,84,Active
RES0316,Employee 316,Architect,IT,PRJ054,75,No,Permanent,10-Mar-24,15,Power BI,Oracle,PMP,Germany,V Mehta,118.00,115069.00,97,Active
RES0317,Employee 317,Architect,Marketing,PRJ051,100,Yes,Permanent,11-Oct-22,9,AWS,Azure,None,India,N Kumar,118.00,115069.00,94,Active
RES0318,Employee 318,Developer,Operations,PRJ072,25,Yes,Permanent,05-Jan-22,15,Azure,Azure,PMP,USA,V Mehta,118.00,115069.00,76,Released
RES0319,Employee 319,Developer,Sales,PRJ051,50,Yes,Contract,11-Oct-24,17,Salesforce,Salesforce,PL-300,Singapore,S Verma,118.00,115069.00,77,Released
RES0320,Employee 320,BA,Sales,PRJ059,25,No,Contract,20-May-22,6,Dynamics 365,Oracle,AZ-900,Australia,K Rao,118.00,115069.00,81,Released
RES0321,Employee 321,Architect,Finance,PRJ025,25,Yes,Contract,23-Nov-22,10,AWS,Power BI,AZ-900,Germany,A Sharma,118.00,115069.00,83,Released
RES0322,Employee 322,Tester,Operations,PRJ039,25,No,Permanent,17-May-24,6,SAP,Azure,PMP,Germany,R Singh,118.00,115069.00,60,Active
RES0323,Employee 323,Tester,Marketing,PRJ068,50,No,Permanent,13-Mar-24,1,SAP,Azure,CSM,UK,V Mehta,118.00,115069.00,89,Active
RES0324,Employee 324,Tester,Operations,PRJ098,75,No,Contract,30-Jun-24,16,Dynamics 365,Dynamics 365,AZ-900,USA,R Singh,118.00,115069.00,68,Released
RES0325,Employee 325,Developer,Sales,PRJ033,25,Yes,Contract,04-Jul-24,15,Power BI,Oracle,CSM,USA,P Gupta,118.00,115069.00,87,Released
RES0326,Employee 326,Tester,Finance,PRJ001,50,Yes,Contract,29-May-22,18,Power BI,Azure,PL-300,Singapore,R Singh,118.00,115069.00,88,Active
RES0327,Employee 327,BA,IT,PRJ051,100,Yes,Contract,08-Jul-24,14,SAP,SAP,CSM,Singapore,K Rao,118.00,115069.00,80,Active
RES0328,Employee 328,BA,IT,PRJ081,25,Yes,Permanent,29-Feb-24,15,AWS,Power BI,AZ-900,USA,R Singh,118.00,115069.00,75,Active
RES0329,Employee 329,PM,HR,PRJ089,100,Yes,Contract,06-Apr-22,19,Azure,SAP,None,India,M Patel,118.00,115069.00,92,Released
RES0330,Employee 330,Developer,IT,PRJ047,100,No,Permanent,10-Jan-24,16,Oracle,Power BI,PMP,Australia,K Rao,118.00,115069.00,63,Active
RES0331,Employee 331,Architect,Sales,PRJ099,25,No,Contract,04-Apr-24,2,Azure,Power BI,None,India,V Mehta,118.00,115069.00,97,Active
RES0332,Employee 332,Tester,Marketing,PRJ055,50,No,Permanent,22-Mar-22,18,Oracle,Dynamics 365,None,Germany,N Kumar,118.00,115069.00,71,Active
RES0333,Employee 333,Architect,HR,PRJ069,50,No,Permanent,29-Jun-23,13,Oracle,Salesforce,CSM,Singapore,R Singh,118.00,115069.00,64,Active
RES0334,Employee 334,BA,Marketing,PRJ003,50,No,Permanent,12-Aug-24,13,Power BI,Power BI,None,Australia,P Gupta,118.00,115069.00,81,Released
RES0335,Employee 335,Tester,IT,PRJ039,25,Yes,Contract,01-Oct-23,17,SAP,Salesforce,AZ-900,Singapore,S Verma,118.00,115069.00,78,Released
RES0336,Employee 336,Architect,HR,PRJ098,50,Yes,Contract,16-Feb-24,4,Salesforce,Azure,CSM,USA,S Verma,118.00,115069.00,95,Released
RES0337,Employee 337,Architect,HR,PRJ008,75,Yes,Contract,27-Mar-24,16,Salesforce,AWS,CSM,USA,N Kumar,118.00,115069.00,100,Released
RES0338,Employee 338,Architect,HR,PRJ052,75,Yes,Permanent,09-May-22,5,AWS,SAP,None,Germany,A Sharma,118.00,115069.00,84,Active
RES0339,Employee 339,BA,HR,PRJ065,25,No,Contract,23-Apr-22,7,Dynamics 365,AWS,None,UK,S Verma,118.00,115069.00,76,Released
